experiment,epoch,train_loss,val_loss,val_acc,test_acc,duration_sec
lenet_sigmoid_avgpool,13,0.032693,0.046832,0.985167,-1.0,2.31
lenet_sigmoid_avgpool,14,0.031171,0.049644,0.982333,-1.0,2.29
lenet_sigmoid_avgpool,15,0.028238,0.047528,0.984667,-1.0,2.31
lenet_sigmoid_avgpool,15,-1.0,-1.0,0.985333,0.9852,0.0
lenet_tanh_avgpool,1,0.273596,0.10225,0.966667,-1.0,2.29
lenet_tanh_avgpool,2,0.076487,0.077204,0.978167,-1.0,2.32
lenet_tanh_avgpool,3,0.051289,0.052599,0.984167,-1.0,2.28
lenet_tanh_avgpool,4,0.03994,0.053522,0.984167,-1.0,2.3
lenet_tanh_avgpool,5,0.032506,0.048037,0.985667,-1.0,2.38
lenet_tanh_avgpool,6,0.027565,0.044195,0.987167,-1.0,2.37
lenet_tanh_avgpool,7,0.022054,0.049243,0.986333,-1.0,2.36
lenet_tanh_avgpool,8,0.019412,0.06406,0.981833,-1.0,2.31
lenet_tanh_avgpool,9,0.015821,0.055396,0.984167,-1.0,2.35
lenet_tanh_avgpool,10,0.013348,0.053823,0.9875,-1.0,2.27
lenet_tanh_avgpool,11,0.012883,0.054057,0.9855,-1.0,2.36
lenet_tanh_avgpool,12,0.011698,0.047409,0.988333,-1.0,2.31
lenet_tanh_avgpool,13,0.011145,0.046625,0.988167,-1.0,2.31
lenet_tanh_avgpool,14,0.011014,0.053408,0.987167,-1.0,2.33
lenet_tanh_avgpool,15,0.007938,0.053118,0.988667,-1.0,2.26
lenet_tanh_avgpool,15,-1.0,-1.0,0.988667,0.987,0.0
lenet_leakyrelu_avgpool,1,0.3042,0.11356,0.965167,-1.0,2.32
lenet_leakyrelu_avgpool,2,0.085203,0.07322,0.975833,-1.0,2.32
lenet_leakyrelu_avgpool,3,0.058841,0.053681,0.983833,-1.0,2.31
lenet_leakyrelu_avgpool,4,0.046756,0.046025,0.985167,-1.0,2.37
lenet_leakyrelu_avgpool,5,0.038379,0.054035,0.984,-1.0,2.34
lenet_leakyrelu_avgpool,6,0.033175,0.045172,0.986333,-1.0,2.32
lenet_leakyrelu_avgpool,7,0.027882,0.047707,0.986833,-1.0,2.33
lenet_leakyrelu_avgpool,8,0.02365,0.039649,0.988833,-1.0,2.26
lenet_leakyrelu_avgpool,9,0.019032,0.040301,0.989667,-1.0,2.28
lenet_leakyrelu_avgpool,10,0.018809,0.037218,0.989,-1.0,2.32
lenet_leakyrelu_avgpool,11,0.015671,0.042505,0.9885,-1.0,2.31
lenet_leakyrelu_avgpool,12,0.015554,0.040114,0.988833,-1.0,2.27
lenet_leakyrelu_avgpool,13,0.011541,0.05097,0.986833,-1.0,2.33
lenet_leakyrelu_avgpool,14,0.012221,0.058705,0.987,-1.0,2.33
lenet_leakyrelu_avgpool,15,0.012042,0.039559,0.991,-1.0,2.36
lenet_leakyrelu_avgpool,15,-1.0,-1.0,0.991,0.9906,0.0
